customer_id,store_id,first_name,last_name,email,address_id,active
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,1
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,1
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,1
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,1
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,1
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,1
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,1
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,1
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,1
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,1
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,1
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,1
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,1
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,1
20,1,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,1
